town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Effingham,Carroll,0.338164251,0.429951691,0.418918919,0.179054054,0.317567568,-1,43.76,71,1376,38.5,17089,36000,-1,152.7192009,82.7,17.1,719,22
Ellsworth,Grafton,0.227272727,0.318181818,0.333333333,0.25,0.375,-1,43.87,71.74,85,41.2,22706,33750,-1,3.953488372,88.4,34.9,36,0
Enfield,Grafton,0.447263017,0.343124166,0.328416912,0.216322517,0.388397247,1,43.64,72.14,4854,38.3,23054,47990,-1,66.99792961,89,24.6,3340,73
Epping,Rockingham,0.25,0.387096774,0.456556082,0.193522907,0.295418641,1,43.03,71.07,6169,35.8,21109,50739,-1,224.3272727,84.5,14.5,3563,133
Epsom,Merrimac,0.215311005,0.452950558,0.42081448,0.230769231,0.288461538,1,43.22,71.33,4536,38.9,22026,50685,-1,138.6731886,88.2,22.4,2458,79
Errol,Coos,0.225,0.45,0.25,0.140625,0.421875,-1,44.78,71.14,290,47.2,22440,35625,-1,2.169197397,78.5,8.5,166,10
Exeter,Rockingham,0.311070111,0.425461255,0.357742182,0.148741419,0.431985762,1,42.98,70.95,14754,40,27105,49618,-1,303.0813476,88.9,38,7867,266
Farmington,Strafford,0.227142857,0.411428571,0.477369769,0.187019641,0.274978651,1,43.39,71.07,6575,36.1,16574,40971,-1,174.6347942,73.1,9.9,3356,124
Fitzwilliam,Cheshire,0.316953317,0.361179361,0.432029795,0.197392924,0.286778399,1,42.78,72.14,2296,39.9,23127,48125,-1,74.81264255,86.8,24.1,1434,54
Francestown,Hillsborough,0.452095808,0.311377246,0.240174672,0.189956332,0.495633188,-1,42.99,71.81,1579,40.2,28942,64259,-1,51.0177706,95.4,44.3,843,29
Franconia,Grafton,0.462406015,0.315789474,0.23015873,0.166666667,0.526455026,-1,44.23,71.75,1036,47.1,20351,40114,-1,13.16224114,91.1,45,555,17
Franklin,Merrimac, , ,0.468072289,0.201807229,0.272289157,1,43.44,71.65,8785,37.3,17155,34613,-1,277.3918535,80.3,13.6,4431,164
Freedom,Carroll,0.316205534,0.43083004,0.323899371,0.194968553,0.402515723,-1,43.81,71.04,1449,48.6,23036,40187,-1,37.12528824,92.1,31.2,736,28
Fremont,Rockingham,0.230024213,0.498789346,0.421768707,0.213605442,0.310204082,1,42.99,71.14,4074,35.5,24082,62171,-1,235.2193995,88,18.7,2342,88
Gilford,Belknap,0.249791145,0.378446115,0.367965368,0.152133581,0.413110699,1,43.55,71.41,7453,42.9,32667,48658,-1,134.5306859,93.7,34.9,3777,122
Gilmanton,Belknap,0.305555556,0.394097222,0.360634082,0.171730515,0.375165125,1,43.42,71.3,3539,40.1,23163,50542,-1,99.46599213,87.5,25.9,1926,69
Gilsum,Cheshire,0.36,0.232,0.270718232,0.198895028,0.403314917,-1,43.05,72.26,806,41,20956,43359,-1,66.99916874,82.5,18.8,444,14
Goffstown,Hillsborough,0.21697685,0.46209714,0.410318665,0.164491654,0.347192716,1,43.02,71.6,17696,35.4,21907,55833,-1,14270.96774,85,25.2,10256,296
Gorham,Coos,0.190327613,0.496099844,0.414572864,0.25,0.278894472,1,44.39,71.17,2911,42,16649,32250,-1,80.2370452,79.4,13.4,1631,62
Goshen,Sullivan,0.372727273,0.336363636,0.319767442,0.197674419,0.395348837,-1,43.3,72.15,824,40.4,20561,42625,-1,4.905637912,76.8,14.8,437,0
Grafton,Grafton,0.476190476,0.301587302,0.36802974,0.230483271,0.345724907,1,43.56,71.94,1117,38.8,16944,38654,-1,23.79633575,81.8,21.9,671,19
Grantham,Sullivan,0.426282051,0.341346154,0.324861878,0.141436464,0.478453039,1,43.49,72.14,2522,46,32174,63239,-1,75.96385542,96.7,51.2,1427,36
Greenfield,Hillsborough,0.323308271,0.379699248,0.277472527,0.153846154,0.434065934,-1,42.95,71.87,1774,34.5,19895,48833,-1,58.87819449,90.9,27.6,993,29
Greenland,Rockingham,0.251666667,0.468333333,0.390433815,0.152391546,0.394883204,1,43.04,70.83,3384,38.1,31270,62172,-1,320.4545455,93.1,36.8,2055,55
Greenville,Hillsborough,0.259786477,0.441281139,0.488888889,0.118518519,0.237037037,-1,42.76,71.81,2202,36.3,17901,39545,-1,72.3390276,83,10.2,1189,53
Groton,Grafton,0.456140351,0.315789474,0.342857143,0.219047619,0.314285714,-1,43.7,71.84,490,39.9,18680,37083,-1,12.03931204,81.2,8.4,229,0
Hampstead,Rockingham,0.243220339,0.487288136,0.465941614,0.177447052,0.310818546,1,42.87,71.18,8832,38.1,29195,68533,-1,809.532539,93.3,36.3,4770,206
Hampton,Rockingham,0.220327422,0.530013643,0.42994436,0.189681335,0.327516439,1,42.94,70.84,15422,41.1,29878,54419,-1, ,90.9,36.3,9437,347
HamptonFalls,Rockingham,0.317880795,0.427152318,0.341121495,0.196261682,0.411214953,1,42.92,70.86,2054,41.9,35060,76348,-1, ,95.5,49.8,1100,45
Hancock,Hillsborough,0.441532258,0.318548387,0.228243021,0.146141215,0.543513957,-1,42.97,71.98,1814,42.6,29445,55000,-1,58.87698799,95.2,46.5,900,27
Hanover,Grafton,0.453006951,0.305228166,0.261361257,0.096125654,0.581989529,1,43.7,72.29,11151,22.8,30393,72470,-1,383.327604,96.6,77.7,5587,148
Harrisville,Cheshire,0.426315789,0.294736842,0.310722101,0.146608315,0.466083151,-1,42.94,72.1,1105,43,25397,48625,-1,57.46229849,88.7,40.6,678,0
HartsLocation,Carroll,0.176470588,0.294117647,0.230769231,0.076923077,0.692307692,-1,44.13,71.36,41,39.3,19610,41250,-1,2.135416667,90.5,52.4,19,0
Haverhill,Grafton,0.422096317,0.365439093,0.356756757,0.183783784,0.401801802,-1,44.03,72.06,4599,39.7,17465,36853,-1,1146.882793,82.4,19.4,1980,83
Hebron,Grafton,0.367346939,0.336734694,0.328,0.112,0.376,-1,43.69,71.81,494,50,30196,47639,-1,11.09115402,92.8,31.5,288,0
Henniker,Merrimac,0.331186753,0.356025759,0.310185185,0.191666667,0.414814815,1,43.18,71.82,5081,33.1,24530,50288,-1,117.6702177,90.8,42.8,2514,80
Hill,Merrimac,0.24260355,0.449704142,0.37745098,0.200980392,0.294117647,-1,43.52,71.7,1103,38.7,21004,48333,-1,47.29845626,85.7,12.4,650,20
Hillsborough,Hillsborough,0.257181943,0.384404925,0.359964093,0.18940754,0.371633752,1,43.11,71.9,5462,37.6,20122,44500,-1,63.25419803,88.9,19.8,2627,107
Hinsdale,Cheshire,0.378283713,0.360770578,0.438410596,0.169536424,0.339072848,-1,42.79,72.49,4203,37,16611,36124,-1,184.0192644,82.6,9,2447,61
Holderness,Grafton,0.378995434,0.337899543,0.363796134,0.152899824,0.409490334,-1,43.73,71.59,2073,42.1,27825,47895,-1,57.74373259,92.6,40.4,1193,31
Hollis,Hillsborough,0.316643159,0.392101551,0.355543988,0.170223842,0.412285268,1,42.74,71.59,7748,39.6,44936,92847,-1,237.2320882,95.9,56.3,4115,122
Hooksett,Merrimac,0.224172856,0.462525321,0.435057244,0.168574812,0.320568496,1,43.1,71.47,13439,35.3,24629,61491,-1,366.484865,88.6,29.4,7830,247
Hopkinton,Merrimac,0.345221113,0.405848787,0.277133825,0.157534247,0.47312961,1,43.19,71.68,5617,41.8,30753,59583,-1,124.5454545,95.2,47,2970,83
Hudson,Hillsborough,0.224666667,0.483,0.459926301,0.184246891,0.312068171,1,42.76,71.44,24729,35.4,25696,64169,-1,843.1299011,89.7,25.9,14818,555
Jackson,Carroll,0.41091954,0.316091954,0.279069767,0.134366925,0.449612403,-1,44.14,71.18,883,45.6,25718,49583,-1,12.99484915,97.5,53.1,474,13
Jaffrey,Cheshire,0.267724868,0.439153439,0.37899918,0.176374077,0.377358491,1,42.81,72.02,5694,38.1,21412,45033,-1,140.488527,83.7,24,2872,106
Jefferson,Coos,0.40952381,0.40952381,0.4,0.145945946,0.4,-1,44.42,71.48,1060,42.9,19556,41089,-1,21.9871396,83.1,21.3,606,22
Keene,Cheshire,0.36227608,0.312961012,0.307569211,0.166426628,0.408705393,1,42.93,72.28,22672,35.3,20544,37033,1,298.7481882,87.3,31.9,12598,378
Kensington,Rockingham,0.351421189,0.400516796,0.418145957,0.179487179,0.358974359,-1,42.93,70.94,2067,38.7,29265,67344,-1,172.25,94.2,36.1,1130,44
Kingston,Rockingham,0.216366158,0.504854369,0.446477585,0.180237877,0.312900274,1,42.94,71.05,6229,38,28795,61522,-1,299.1834774,89.9,22.8,3498,149
Laconia,Belknap,0.223080223,0.392964393,0.387086514,0.193066158,0.371819338,1,43.53,71.47,17060,38.8,19540,37796,1,661.2403101,81.9,19.6,8465,286
Lancaster,Coos,0.359090909,0.409090909,0.30794702,0.223509934,0.369205298,-1,44.49,71.57,3351,39.8,19905,40305,-1,49.65180027,86.1,24.4,1754,57
Landaff,Grafton,0.4,0.4,0.25,0.25,0.464285714,-1,44.15,71.88,370,42,18033,41964,-1,12.98245614,82.9,24.2,216,0
Langdon,Sullivan,0.43442623,0.327868852,0.363636364,0.151515152,0.36969697,-1,43.17,72.38,671,40.9,24572,42083,-1,41.16564417,89.7,18.1,379,0
Lebanon,Grafton,0.473391581,0.321683876,0.344816979,0.15133805,0.443248231,1,43.64,72.25,12586,37.1,25133,42185,1,456.5107,90,35,7934,184
Lee,Strafford,0.31547619,0.402777778,0.365019011,0.198479087,0.348288973,1,43.12,71.01,4440,35.4,23905,57993,-1,219.8019802,95.1,52.6,2623,80
Lempster,Sullivan,0.456521739,0.246376812,0.353773585,0.179245283,0.400943396,-1,43.24,72.21,1094,41.4,19172,40458,-1,21.98994975,81.8,15.3,560,17
Lincoln,Grafton,0.220779221,0.432900433,0.434931507,0.143835616,0.359589041,-1,44.05,71.67,1317,42.6,17998,28523,-1,10.18482716,82,16.1,761,29
